customer_id,customer_count
16414143,1
50800750,1
15184378,1
10203548,1
488280,1
13334021,1
27520697,1
48086021,1
12738196,1
15867807,1
1972249,1
10956619,1
14805911,1
15611116,1
39298603,1
17552454,1
12218556,1
21872923,1
16264332,1
6042304,1
4811414,1
16060664,1
44078192,1
2873589,1
5835682,1
27545517,1
21028313,1
23129086,1
6432063,1
9979312,1
132280,1
16774212,1
12342819,1
40791829,1
128621,1
45384795,1
16398318,1
43381227,1
1077816,1
1393265,1
11203588,1
112013,1
48290383,1
41485531,1
22116711,1
43418856,1
34899222,1
50824213,1
11740675,1
31060851,1
